Time, Date, light, temperature, humidity
12:07:55, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:55, 29-6-2022, 0, 0.00, 0.00
12:07:55, 29-6-2022, 316, 23.80, 58.00
Time, Date, light, temperature, humidity
12:07:55, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:56, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:56, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:56, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:56, 29-6-2022, 0, 0.00, 0.00
12:07:56, 29-6-2022, 316, 23.80, 58.00
Time, Date, light, temperature, humidity
12:07:57, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:57, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:57, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:57, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:57, 29-6-2022, 0, 0.00, 0.00
12:07:58, 29-6-2022, 317, 23.80, 56.00
Time, Date, light, temperature, humidity
12:07:58, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:58, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:58, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:59, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:59, 29-6-2022, 0, 0.00, 0.00
12:07:59, 29-6-2022, 316, 23.80, 56.00
Time, Date, light, temperature, humidity
12:07:59, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:59, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:00, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:00, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:00, 29-6-2022, 0, 0.00, 0.00
12:08:00, 29-6-2022, 316, 23.80, 58.00
Time, Date, light, temperature, humidity
12:08:01, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:01, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:01, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:01, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:01, 29-6-2022, 0, 0.00, 0.00
12:08:02, 29-6-2022, 316, 23.80, 58.00
Time, Date, light, temperature, humidity
12:08:02, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:02, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:02, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:03, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:03, 29-6-2022, 0, 0.00, 0.00
12:08:03, 29-6-2022, 316, 23.80, 58.00
Time, Date, light, temperature, humidity
12:08:03, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:03, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:04, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:04, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:04, 29-6-2022, 0, 0.00, 0.00
12:08:04, 29-6-2022, 344, 23.80, 58.00
Time, Date, light, temperature, humidity
12:08:05, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:08:05, 29-6-2022, 0, 0.00, 0.00
