Time, Date, light, temperature, humidity
11:12:20, 30-6-2022, 373, 24.10, 55.00
11:12:21, 30-6-2022, 374, 24.10, 55.00
11:12:22, 30-6-2022, 373, 24.10, 60.00
11:12:24, 30-6-2022, 374, 24.10, 60.00
11:12:25, 30-6-2022, 373, 24.10, 58.00
11:12:26, 30-6-2022, 373, 24.10, 58.00
11:12:27, 30-6-2022, 374, 24.20, 58.00
11:12:28, 30-6-2022, 373, 24.20, 58.00
11:12:30, 30-6-2022, 373, 24.20, 58.00
11:12:31, 30-6-2022, 375, 24.20, 58.00
11:12:32, 30-6-2022, 375, 24.20, 58.00
11:12:33, 30-6-2022, 374, 24.20, 58.00
11:12:35, 30-6-2022, 375, 24.20, 58.00
11:12:36, 30-6-2022, 374, 24.20, 58.00
11:12:37, 30-6-2022, 375, 24.20, 58.00
11:12:38, 30-6-2022, 374, 24.20, 58.00
11:12:40, 30-6-2022, 375, 24.20, 58.00
11:12:41, 30-6-2022, 374, 24.20, 58.00
11:12:42, 30-6-2022, 375, 24.20, 58.00
11:12:43, 30-6-2022, 375, 24.20, 58.00
11:12:44, 30-6-2022, 374, 24.20, 58.00
11:12:46, 30-6-2022, 372, 24.20, 58.00
11:12:47, 30-6-2022, 373, 24.20, 58.00
11:12:48, 30-6-2022, 374, 24.20, 58.00
11:12:49, 30-6-2022, 373, 24.20, 58.00
11:12:51, 30-6-2022, 374, 24.20, 58.00
11:12:52, 30-6-2022, 373, 24.20, 58.00
11:12:53, 30-6-2022, 374, 24.20, 58.00
11:12:54, 30-6-2022, 374, 24.20, 58.00
11:12:56, 30-6-2022, 374, 24.20, 58.00
11:12:57, 30-6-2022, 373, 24.20, 58.00
11:12:58, 30-6-2022, 375, 24.20, 58.00
11:12:59, 30-6-2022, 373, 24.20, 58.00
11:13:01, 30-6-2022, 375, 24.20, 58.00
11:13:02, 30-6-2022, 373, 24.20, 58.00
11:13:03, 30-6-2022, 374, 24.20, 58.00
11:13:04, 30-6-2022, 374, 24.20, 58.00
11:13:05, 30-6-2022, 374, 24.20, 58.00
11:13:07, 30-6-2022, 374, 24.30, 58.00
11:13:08, 30-6-2022, 373, 24.30, 58.00
11:13:09, 30-6-2022, 375, 24.30, 58.00
11:13:10, 30-6-2022, 374, 24.30, 58.00
11:13:12, 30-6-2022, 375, 24.30, 58.00
11:13:13, 30-6-2022, 374, 24.30, 58.00
11:13:14, 30-6-2022, 375, 24.30, 57.00
11:13:15, 30-6-2022, 374, 24.30, 57.00
11:13:17, 30-6-2022, 375, 24.30, 57.00
11:13:18, 30-6-2022, 375, 24.30, 57.00
11:13:19, 30-6-2022, 374, 24.30, 57.00
11:13:20, 30-6-2022, 375, 24.30, 57.00
11:13:22, 30-6-2022, 374, 24.30, 57.00
11:13:23, 30-6-2022, 373, 24.30, 57.00
11:13:24, 30-6-2022, 373, 24.30, 57.00
11:13:25, 30-6-2022, 375, 24.30, 57.00
11:13:26, 30-6-2022, 374, 24.30, 57.00
11:13:28, 30-6-2022, 375, 24.30, 57.00
11:13:29, 30-6-2022, 374, 24.30, 57.00
11:13:30, 30-6-2022, 375, 24.30, 57.00
11:13:31, 30-6-2022, 374, 24.30, 57.00
11:13:33, 30-6-2022, 373, 24.30, 57.00
11:13:34, 30-6-2022, 374, 24.30, 57.00
11:13:35, 30-6-2022, 373, 24.30, 57.00
11:13:36, 30-6-2022, 375, 24.30, 57.00
11:13:38, 30-6-2022, 373, 24.30, 57.00
11:13:39, 30-6-2022, 375, 24.30, 57.00
11:13:40, 30-6-2022, 374, 24.30, 57.00
11:13:41, 30-6-2022, 374, 24.30, 57.00
11:13:42, 30-6-2022, 374, 24.30, 57.00
11:13:44, 30-6-2022, 374, 24.30, 57.00
11:13:45, 30-6-2022, 375, 24.30, 57.00
11:13:46, 30-6-2022, 374, 24.30, 57.00
11:13:47, 30-6-2022, 375, 24.30, 57.00
11:13:49, 30-6-2022, 372, 24.30, 57.00
11:13:50, 30-6-2022, 372, 24.30, 57.00
11:13:51, 30-6-2022, 374, 24.30, 57.00
11:13:52, 30-6-2022, 374, 24.30, 57.00
11:13:54, 30-6-2022, 373, 24.30, 57.00
11:13:55, 30-6-2022, 374, 24.30, 57.00
11:13:56, 30-6-2022, 373, 24.30, 57.00
11:13:57, 30-6-2022, 375, 24.30, 57.00
11:13:58, 30-6-2022, 374, 24.30, 57.00
11:14:00, 30-6-2022, 374, 24.30, 57.00
11:14:01, 30-6-2022, 374, 24.30, 57.00
11:14:02, 30-6-2022, 373, 24.30, 57.00
11:14:03, 30-6-2022, 374, 24.30, 57.00
11:14:05, 30-6-2022, 374, 24.30, 57.00
11:14:06, 30-6-2022, 375, 24.30, 57.00
11:14:07, 30-6-2022, 371, 24.30, 57.00
11:14:08, 30-6-2022, 369, 24.30, 57.00
11:14:10, 30-6-2022, 374, 24.30, 57.00
11:14:11, 30-6-2022, 373, 24.30, 57.00
11:14:12, 30-6-2022, 375, 24.30, 57.00
11:14:13, 30-6-2022, 373, 24.30, 57.00
11:14:14, 30-6-2022, 372, 24.30, 57.00
11:14:16, 30-6-2022, 372, 24.30, 57.00
11:14:17, 30-6-2022, 375, 24.30, 57.00
