23:42:13 17-6-2022, 19, 43
23:42:14 17-6-2022, 211, 41
23:42:15 17-6-2022, 214, 70
23:42:16 17-6-2022, 109, 133
23:42:18 17-6-2022, 157, 168
23:42:19 17-6-2022, 210, 158
23:42:20 17-6-2022, 209, 104
23:42:21 17-6-2022, 56, 59
23:42:22 17-6-2022, 41, 49
23:42:24 17-6-2022, 38, 37
23:42:25 17-6-2022, 41, 40
23:42:26 17-6-2022, 42, 42
23:42:27 17-6-2022, 209, 40
23:42:29 17-6-2022, 212, 42
23:42:30 17-6-2022, 211, 41
23:42:31 17-6-2022, 214, 41
23:42:32 17-6-2022, 215, 40
23:42:33 17-6-2022, 213, 41
23:42:35 17-6-2022, 207, 41
23:42:36 17-6-2022, 214, 41
23:42:37 17-6-2022, 30, 41
23:42:38 17-6-2022, 23, 50
23:42:39 17-6-2022, 35, 64
23:42:41 17-6-2022, 47, 74
23:42:42 17-6-2022, 46, 83
23:42:43 17-6-2022, 34, 93
23:42:44 17-6-2022, 53, 100
23:42:46 17-6-2022, 79, 107
23:42:47 17-6-2022, 34, 115
23:42:48 17-6-2022, 38, 118
23:42:49 17-6-2022, 39, 121
23:42:50 17-6-2022, 29, 123
23:42:52 17-6-2022, 31, 123
23:42:53 17-6-2022, 32, 122
23:42:54 17-6-2022, 29, 121
23:42:55 17-6-2022, 30, 118
23:42:57 17-6-2022, 180, 115
23:42:58 17-6-2022, 198, 112
23:42:59 17-6-2022, 215, 109
23:43:00 17-6-2022, 213, 106
23:43:01 17-6-2022, 213, 103
23:43:03 17-6-2022, 213, 100
23:43:04 17-6-2022, 213, 96
23:43:05 17-6-2022, 212, 94
23:43:06 17-6-2022, 212, 91
23:43:08 17-6-2022, 212, 89
23:43:09 17-6-2022, 212, 86
23:43:10 17-6-2022, 213, 84
23:43:11 17-6-2022, 212, 82
23:43:12 17-6-2022, 212, 80
23:43:14 17-6-2022, 209, 78
23:43:15 17-6-2022, 214, 77
23:43:16 17-6-2022, 213, 75
23:43:17 17-6-2022, 213, 74
23:43:19 17-6-2022, 214, 74
23:43:20 17-6-2022, 46, 73
23:43:21 17-6-2022, 214, 73
23:43:22 17-6-2022, 218, 71
23:43:23 17-6-2022, 72, 71
23:43:25 17-6-2022, 69, 72
23:43:26 17-6-2022, 117, 84
23:43:27 17-6-2022, 43, 75
23:43:28 17-6-2022, 57, 67
23:43:29 17-6-2022, 31, 71
23:43:31 17-6-2022, 37, 71
23:43:32 17-6-2022, 141, 71
23:43:33 17-6-2022, 152, 71
23:43:34 17-6-2022, 152, 72
23:43:36 17-6-2022, 152, 72
23:43:37 17-6-2022, 147, 73
23:43:38 17-6-2022, 151, 73
23:43:39 17-6-2022, 144, 74
23:43:40 17-6-2022, 149, 74
23:43:42 17-6-2022, 149, 75
23:43:43 17-6-2022, 150, 75
23:43:44 17-6-2022, 149, 76
23:43:45 17-6-2022, 149, 78
23:43:47 17-6-2022, 148, 76
23:43:48 17-6-2022, 148, 78
23:43:49 17-6-2022, 148, 79
23:43:50 17-6-2022, 149, 80
23:43:51 17-6-2022, 148, 78
23:43:53 17-6-2022, 149, 81
23:43:54 17-6-2022, 150, 82
23:43:55 17-6-2022, 149, 83
23:43:56 17-6-2022, 150, 85
23:43:58 17-6-2022, 151, 84
23:43:59 17-6-2022, 150, 85
23:44:00 17-6-2022, 150, 86
23:44:01 17-6-2022, 148, 87
23:44:02 17-6-2022, 149, 89
23:44:04 17-6-2022, 149, 89
23:44:05 17-6-2022, 148, 89
23:44:06 17-6-2022, 148, 90
23:44:07 17-6-2022, 149, 91
23:44:09 17-6-2022, 150, 91
23:44:10 17-6-2022, 150, 92
23:44:11 17-6-2022, 150, 93
23:44:12 17-6-2022, 150, 94
23:44:13 17-6-2022, 151, 93
23:44:15 17-6-2022, 151, 95
23:44:16 17-6-2022, 146, 96
23:44:17 17-6-2022, 155, 97
23:44:18 17-6-2022, 154, 97
23:44:19 17-6-2022, 156, 97
23:44:21 17-6-2022, 153, 99
23:44:22 17-6-2022, 158, 99
23:44:23 17-6-2022, 158, 100
23:44:24 17-6-2022, 155, 101
23:44:26 17-6-2022, 153, 102
23:44:27 17-6-2022, 154, 102
23:44:28 17-6-2022, 156, 103
23:44:29 17-6-2022, 156, 103
23:44:30 17-6-2022, 157, 105
23:44:32 17-6-2022, 157, 105
23:44:33 17-6-2022, 157, 106
23:44:34 17-6-2022, 158, 106
23:44:35 17-6-2022, 155, 107
23:44:37 17-6-2022, 155, 108
23:44:38 17-6-2022, 157, 108
23:44:39 17-6-2022, 154, 109
23:44:40 17-6-2022, 155, 109
23:44:41 17-6-2022, 161, 110
23:44:43 17-6-2022, 161, 109
23:44:44 17-6-2022, 157, 112
23:44:45 17-6-2022, 156, 112
23:44:46 17-6-2022, 158, 112
23:44:48 17-6-2022, 155, 113
23:44:49 17-6-2022, 157, 114
23:44:50 17-6-2022, 158, 114
23:44:51 17-6-2022, 160, 115
23:44:52 17-6-2022, 152, 115
23:44:54 17-6-2022, 154, 116
23:44:55 17-6-2022, 155, 116
23:44:56 17-6-2022, 155, 118
23:44:57 17-6-2022, 155, 118
23:44:58 17-6-2022, 153, 119
23:45:00 17-6-2022, 156, 119
23:45:01 17-6-2022, 157, 121
23:45:02 17-6-2022, 152, 121
23:45:03 17-6-2022, 160, 121
23:45:05 17-6-2022, 159, 122
23:45:06 17-6-2022, 159, 122
23:45:07 17-6-2022, 161, 123
23:45:08 17-6-2022, 161, 123
23:45:09 17-6-2022, 153, 125
23:45:11 17-6-2022, 152, 124
23:45:12 17-6-2022, 153, 125
23:45:13 17-6-2022, 158, 126
23:45:14 17-6-2022, 157, 127
23:45:16 17-6-2022, 159, 127
23:45:17 17-6-2022, 159, 128
23:45:18 17-6-2022, 158, 128
23:45:19 17-6-2022, 156, 129
23:45:20 17-6-2022, 157, 130
23:45:22 17-6-2022, 154, 129
23:45:23 17-6-2022, 151, 132
23:45:24 17-6-2022, 156, 131
23:45:25 17-6-2022, 154, 132
23:45:27 17-6-2022, 154, 131
23:45:28 17-6-2022, 157, 133
23:45:29 17-6-2022, 153, 133
23:45:30 17-6-2022, 154, 133
23:45:31 17-6-2022, 156, 134
23:45:33 17-6-2022, 156, 135
23:45:34 17-6-2022, 155, 135
23:45:35 17-6-2022, 155, 136
23:45:36 17-6-2022, 155, 137
23:45:38 17-6-2022, 152, 138
23:45:39 17-6-2022, 159, 137
23:45:40 17-6-2022, 158, 136
23:45:41 17-6-2022, 151, 137
23:45:42 17-6-2022, 152, 139
23:45:44 17-6-2022, 155, 139
23:45:45 17-6-2022, 153, 139
23:45:46 17-6-2022, 153, 139
23:45:47 17-6-2022, 156, 140
23:45:48 17-6-2022, 152, 140
23:45:50 17-6-2022, 156, 142
23:45:51 17-6-2022, 155, 142
23:45:52 17-6-2022, 154, 142
23:45:53 17-6-2022, 153, 142
23:45:55 17-6-2022, 152, 144
23:45:56 17-6-2022, 153, 144
23:45:57 17-6-2022, 149, 144
23:45:58 17-6-2022, 149, 145
23:45:59 17-6-2022, 153, 145
23:46:01 17-6-2022, 156, 147
23:46:02 17-6-2022, 159, 147
23:46:03 17-6-2022, 159, 146
23:46:04 17-6-2022, 158, 147
23:46:06 17-6-2022, 158, 148
23:46:07 17-6-2022, 152, 148
23:46:08 17-6-2022, 152, 148
23:46:09 17-6-2022, 157, 149
23:46:10 17-6-2022, 158, 150
23:46:12 17-6-2022, 158, 150
23:46:13 17-6-2022, 153, 151
23:46:14 17-6-2022, 154, 150
23:46:15 17-6-2022, 155, 151
23:46:17 17-6-2022, 152, 152
23:46:18 17-6-2022, 150, 151
23:46:19 17-6-2022, 152, 153
23:46:20 17-6-2022, 152, 153
23:46:21 17-6-2022, 152, 153
23:46:23 17-6-2022, 152, 155
23:46:24 17-6-2022, 152, 154
23:46:25 17-6-2022, 152, 154
23:46:26 17-6-2022, 152, 155
23:46:28 17-6-2022, 149, 157
23:46:29 17-6-2022, 150, 156
23:46:30 17-6-2022, 150, 156
23:46:31 17-6-2022, 152, 156
23:46:32 17-6-2022, 154, 157
23:46:34 17-6-2022, 155, 157
23:46:35 17-6-2022, 154, 158
23:46:36 17-6-2022, 154, 158
23:46:37 17-6-2022, 154, 158
23:46:38 17-6-2022, 153, 158
23:46:40 17-6-2022, 153, 158
23:46:41 17-6-2022, 154, 160
23:46:42 17-6-2022, 154, 160
23:46:43 17-6-2022, 154, 159
23:46:45 17-6-2022, 154, 160
23:46:46 17-6-2022, 154, 161
23:46:47 17-6-2022, 154, 161
23:46:48 17-6-2022, 154, 162
23:46:49 17-6-2022, 154, 162
23:46:51 17-6-2022, 154, 160
23:46:52 17-6-2022, 153, 162
23:46:53 17-6-2022, 154, 163
23:46:54 17-6-2022, 154, 165
23:46:56 17-6-2022, 154, 164
23:46:57 17-6-2022, 154, 164
23:46:58 17-6-2022, 154, 164
23:46:59 17-6-2022, 154, 165
23:47:00 17-6-2022, 154, 165
23:47:02 17-6-2022, 154, 166
23:47:03 17-6-2022, 153, 165
23:47:04 17-6-2022, 154, 166
23:47:05 17-6-2022, 154, 166
23:47:07 17-6-2022, 153, 166
23:47:08 17-6-2022, 154, 168
23:47:09 17-6-2022, 154, 168
23:47:10 17-6-2022, 153, 168
23:47:11 17-6-2022, 154, 168
23:47:13 17-6-2022, 154, 169
23:47:14 17-6-2022, 153, 169
23:47:15 17-6-2022, 154, 168
23:47:16 17-6-2022, 154, 169
23:47:17 17-6-2022, 154, 170
23:47:19 17-6-2022, 52, 170
23:47:20 17-6-2022, 41, 170
23:47:21 17-6-2022, 153, 170
23:47:22 17-6-2022, 154, 171
23:47:23 17-6-2022, 154, 171
23:47:25 17-6-2022, 153, 173
23:47:26 17-6-2022, 154, 172
23:47:27 17-6-2022, 153, 173
23:47:28 17-6-2022, 153, 173
23:47:30 17-6-2022, 153, 174
23:47:31 17-6-2022, 153, 174
23:47:32 17-6-2022, 153, 175
23:47:33 17-6-2022, 153, 175
23:47:34 17-6-2022, 154, 175
23:47:36 17-6-2022, 153, 174
23:47:37 17-6-2022, 153, 176
23:47:38 17-6-2022, 153, 177
23:47:39 17-6-2022, 153, 177
23:47:41 17-6-2022, 153, 176
23:47:42 17-6-2022, 153, 177
23:47:43 17-6-2022, 153, 177
23:47:44 17-6-2022, 153, 177
23:47:45 17-6-2022, 153, 178
23:47:47 17-6-2022, 153, 179
23:47:48 17-6-2022, 153, 178
23:47:49 17-6-2022, 153, 179
23:47:50 17-6-2022, 153, 180
23:47:52 17-6-2022, 153, 180
23:47:53 17-6-2022, 153, 180
23:47:54 17-6-2022, 153, 180
23:47:55 17-6-2022, 154, 180
23:47:56 17-6-2022, 153, 181
23:47:58 17-6-2022, 153, 182
23:47:59 17-6-2022, 153, 182
23:48:00 17-6-2022, 153, 182
23:48:01 17-6-2022, 153, 182
23:48:02 17-6-2022, 153, 184
23:48:04 17-6-2022, 153, 183
23:48:05 17-6-2022, 153, 182
23:48:06 17-6-2022, 153, 184
23:48:07 17-6-2022, 153, 183
23:48:09 17-6-2022, 153, 184
23:48:10 17-6-2022, 154, 184
23:48:11 17-6-2022, 153, 184
23:48:12 17-6-2022, 153, 185
23:48:13 17-6-2022, 154, 185
23:48:15 17-6-2022, 153, 185
23:48:16 17-6-2022, 153, 187
23:48:17 17-6-2022, 154, 187
23:48:18 17-6-2022, 153, 186
23:48:20 17-6-2022, 153, 187
23:48:21 17-6-2022, 154, 188
23:48:22 17-6-2022, 153, 187
23:48:23 17-6-2022, 154, 188
23:48:24 17-6-2022, 153, 189
23:48:26 17-6-2022, 153, 188
23:48:27 17-6-2022, 153, 189
23:48:28 17-6-2022, 153, 189
23:48:29 17-6-2022, 154, 189
23:48:31 17-6-2022, 153, 189
23:48:32 17-6-2022, 153, 191
23:48:33 17-6-2022, 153, 190
23:48:34 17-6-2022, 153, 191
23:48:35 17-6-2022, 153, 191
23:48:37 17-6-2022, 153, 190
23:48:38 17-6-2022, 153, 192
23:48:39 17-6-2022, 153, 191
23:48:40 17-6-2022, 153, 192
23:48:41 17-6-2022, 153, 192
23:48:43 17-6-2022, 154, 193
23:48:44 17-6-2022, 153, 194
