Time, Date, light, temperature, humidity
12:58:00, 29-6-2022, 381, 23.30, 57.00
12:58:01, 29-6-2022, 382, 23.30, 57.00
12:58:02, 29-6-2022, 381, 23.30, 63.00
12:58:04, 29-6-2022, 382, 23.30, 63.00
12:58:05, 29-6-2022, 381, 23.30, 61.00
12:58:06, 29-6-2022, 380, 23.30, 61.00
12:58:07, 29-6-2022, 381, 23.30, 61.00
12:58:08, 29-6-2022, 381, 23.30, 61.00
12:58:10, 29-6-2022, 380, 23.40, 61.00
12:58:11, 29-6-2022, 381, 23.40, 61.00
12:58:12, 29-6-2022, 381, 23.40, 61.00
12:58:13, 29-6-2022, 380, 23.40, 61.00
12:58:15, 29-6-2022, 380, 23.40, 61.00
12:58:16, 29-6-2022, 381, 23.40, 61.00
12:58:17, 29-6-2022, 380, 23.40, 61.00
12:58:18, 29-6-2022, 380, 23.40, 61.00
12:58:20, 29-6-2022, 381, 23.40, 61.00
12:58:21, 29-6-2022, 380, 23.40, 61.00
12:58:22, 29-6-2022, 381, 23.40, 61.00
12:58:23, 29-6-2022, 380, 23.40, 61.00
12:58:24, 29-6-2022, 380, 23.40, 61.00
12:58:26, 29-6-2022, 382, 23.40, 61.00
12:58:27, 29-6-2022, 381, 23.40, 61.00
12:58:28, 29-6-2022, 381, 23.40, 61.00
12:58:29, 29-6-2022, 382, 23.40, 61.00
12:58:31, 29-6-2022, 382, 23.40, 61.00
12:58:32, 29-6-2022, 381, 23.40, 61.00
12:58:33, 29-6-2022, 381, 23.40, 61.00
12:58:34, 29-6-2022, 382, 23.40, 61.00
12:58:36, 29-6-2022, 381, 23.40, 61.00
12:58:37, 29-6-2022, 381, 23.40, 61.00
12:58:38, 29-6-2022, 382, 23.40, 61.00
12:58:39, 29-6-2022, 381, 23.40, 61.00
12:58:40, 29-6-2022, 381, 23.40, 61.00
12:58:42, 29-6-2022, 382, 23.40, 61.00
12:58:43, 29-6-2022, 381, 23.40, 61.00
12:58:44, 29-6-2022, 381, 23.40, 61.00
12:58:45, 29-6-2022, 382, 23.40, 61.00
12:58:47, 29-6-2022, 382, 23.40, 61.00
12:58:48, 29-6-2022, 381, 23.40, 61.00
12:58:49, 29-6-2022, 382, 23.40, 61.00
12:58:50, 29-6-2022, 382, 23.40, 61.00
12:58:52, 29-6-2022, 381, 23.50, 61.00
12:58:53, 29-6-2022, 382, 23.50, 61.00
12:58:54, 29-6-2022, 383, 23.50, 61.00
12:58:55, 29-6-2022, 382, 23.50, 61.00
12:58:57, 29-6-2022, 383, 23.50, 60.00
12:58:58, 29-6-2022, 382, 23.50, 60.00
12:58:59, 29-6-2022, 383, 23.50, 60.00
12:59:00, 29-6-2022, 383, 23.50, 60.00
12:59:01, 29-6-2022, 382, 23.50, 60.00
12:59:03, 29-6-2022, 382, 23.50, 60.00
12:59:04, 29-6-2022, 383, 23.50, 60.00
12:59:05, 29-6-2022, 382, 23.50, 60.00
12:59:06, 29-6-2022, 382, 23.50, 60.00
12:59:08, 29-6-2022, 383, 23.50, 60.00
12:59:09, 29-6-2022, 381, 23.50, 60.00
12:59:10, 29-6-2022, 381, 23.50, 60.00
12:59:11, 29-6-2022, 382, 23.50, 60.00
12:59:12, 29-6-2022, 381, 23.50, 60.00
12:59:14, 29-6-2022, 381, 23.50, 60.00
12:59:15, 29-6-2022, 382, 23.50, 60.00
12:59:16, 29-6-2022, 382, 23.50, 60.00
12:59:17, 29-6-2022, 383, 23.50, 60.00
12:59:19, 29-6-2022, 382, 23.50, 60.00
12:59:20, 29-6-2022, 382, 23.50, 60.00
12:59:21, 29-6-2022, 383, 23.50, 60.00
12:59:22, 29-6-2022, 382, 23.50, 60.00
12:59:24, 29-6-2022, 382, 23.50, 60.00
12:59:25, 29-6-2022, 383, 23.50, 60.00
12:59:26, 29-6-2022, 382, 23.40, 60.00
12:59:27, 29-6-2022, 382, 23.40, 60.00
12:59:29, 29-6-2022, 383, 23.50, 60.00
12:59:30, 29-6-2022, 382, 23.50, 60.00
12:59:31, 29-6-2022, 382, 23.50, 60.00
12:59:32, 29-6-2022, 384, 23.50, 60.00
12:59:33, 29-6-2022, 383, 23.50, 60.00
12:59:35, 29-6-2022, 384, 23.50, 60.00
12:59:36, 29-6-2022, 384, 23.50, 60.00
12:59:37, 29-6-2022, 383, 23.50, 60.00
12:59:38, 29-6-2022, 384, 23.50, 60.00
12:59:40, 29-6-2022, 385, 23.50, 60.00
12:59:41, 29-6-2022, 384, 23.50, 60.00
12:59:42, 29-6-2022, 384, 23.50, 60.00
12:59:43, 29-6-2022, 385, 23.50, 60.00
12:59:44, 29-6-2022, 384, 23.50, 60.00
12:59:46, 29-6-2022, 382, 23.50, 60.00
12:59:47, 29-6-2022, 382, 23.50, 60.00
12:59:48, 29-6-2022, 381, 23.50, 60.00
12:59:49, 29-6-2022, 383, 23.50, 60.00
12:59:51, 29-6-2022, 381, 23.50, 60.00
12:59:52, 29-6-2022, 382, 23.50, 60.00
12:59:53, 29-6-2022, 382, 23.50, 60.00
12:59:54, 29-6-2022, 382, 23.50, 60.00
12:59:56, 29-6-2022, 381, 23.50, 60.00
12:59:57, 29-6-2022, 382, 23.50, 60.00
