Time, Date, light, temperature, humidity
11:06:47, 30-6-2022, 377, 24.20, 57.00
11:06:48, 30-6-2022, 377, 24.20, 57.00
11:06:49, 30-6-2022, 377, 24.10, 59.00
11:06:51, 30-6-2022, 377, 24.10, 59.00
11:06:52, 30-6-2022, 376, 24.20, 58.00
11:06:53, 30-6-2022, 377, 24.20, 58.00
11:06:54, 30-6-2022, 376, 24.20, 58.00
11:06:55, 30-6-2022, 376, 24.20, 58.00
11:06:57, 30-6-2022, 376, 24.20, 58.00
11:06:58, 30-6-2022, 375, 24.20, 58.00
11:06:59, 30-6-2022, 376, 24.20, 58.00
11:07:00, 30-6-2022, 376, 24.20, 58.00
11:07:02, 30-6-2022, 376, 24.20, 58.00
11:07:03, 30-6-2022, 376, 24.20, 58.00
11:07:04, 30-6-2022, 376, 24.20, 58.00
11:07:05, 30-6-2022, 377, 24.20, 58.00
11:07:07, 30-6-2022, 375, 24.20, 58.00
11:07:08, 30-6-2022, 376, 24.20, 58.00
11:07:09, 30-6-2022, 376, 24.20, 58.00
11:07:10, 30-6-2022, 376, 24.20, 58.00
11:07:11, 30-6-2022, 377, 24.20, 58.00
11:07:13, 30-6-2022, 377, 24.20, 58.00
11:07:14, 30-6-2022, 376, 24.20, 58.00
11:07:15, 30-6-2022, 376, 24.20, 58.00
11:07:16, 30-6-2022, 375, 24.20, 58.00
11:07:18, 30-6-2022, 368, 24.20, 58.00
11:07:19, 30-6-2022, 375, 24.20, 58.00
11:07:20, 30-6-2022, 375, 24.20, 58.00
11:07:21, 30-6-2022, 376, 24.20, 58.00
11:07:23, 30-6-2022, 375, 24.20, 58.00
11:07:24, 30-6-2022, 376, 24.20, 58.00
11:07:25, 30-6-2022, 377, 24.20, 58.00
11:07:26, 30-6-2022, 375, 24.20, 58.00
11:07:27, 30-6-2022, 376, 24.20, 58.00
11:07:29, 30-6-2022, 375, 24.20, 58.00
11:07:30, 30-6-2022, 376, 24.20, 58.00
11:07:31, 30-6-2022, 376, 24.20, 58.00
11:07:32, 30-6-2022, 376, 24.20, 58.00
11:07:34, 30-6-2022, 376, 24.20, 58.00
11:07:35, 30-6-2022, 375, 24.20, 58.00
11:07:36, 30-6-2022, 376, 24.20, 58.00
11:07:37, 30-6-2022, 376, 24.20, 58.00
11:07:39, 30-6-2022, 375, 24.20, 58.00
11:07:40, 30-6-2022, 375, 24.20, 58.00
11:07:41, 30-6-2022, 375, 24.20, 58.00
11:07:42, 30-6-2022, 374, 24.20, 58.00
11:07:44, 30-6-2022, 375, 24.20, 58.00
11:07:45, 30-6-2022, 375, 24.20, 58.00
11:07:46, 30-6-2022, 376, 24.20, 58.00
11:07:47, 30-6-2022, 376, 24.20, 58.00
11:07:48, 30-6-2022, 375, 24.20, 58.00
11:07:50, 30-6-2022, 376, 24.20, 58.00
11:07:51, 30-6-2022, 374, 24.20, 58.00
11:07:52, 30-6-2022, 376, 24.20, 58.00
11:07:53, 30-6-2022, 375, 24.20, 58.00
11:07:55, 30-6-2022, 376, 24.20, 58.00
11:07:56, 30-6-2022, 375, 24.20, 58.00
11:07:57, 30-6-2022, 374, 24.20, 58.00
11:07:58, 30-6-2022, 373, 24.20, 58.00
11:08:00, 30-6-2022, 372, 24.20, 58.00
11:08:01, 30-6-2022, 374, 24.20, 58.00
11:08:02, 30-6-2022, 374, 24.20, 58.00
11:08:03, 30-6-2022, 374, 24.20, 58.00
11:08:04, 30-6-2022, 368, 24.20, 58.00
11:08:06, 30-6-2022, 375, 24.20, 58.00
11:08:07, 30-6-2022, 371, 24.20, 58.00
11:08:08, 30-6-2022, 374, 24.20, 58.00
11:08:09, 30-6-2022, 371, 24.20, 58.00
11:08:11, 30-6-2022, 374, 24.20, 58.00
11:08:12, 30-6-2022, 375, 24.20, 58.00
11:08:13, 30-6-2022, 374, 24.20, 58.00
11:08:14, 30-6-2022, 375, 24.20, 58.00
11:08:16, 30-6-2022, 374, 24.20, 58.00
11:08:17, 30-6-2022, 375, 24.20, 58.00
11:08:18, 30-6-2022, 375, 24.20, 58.00
11:08:19, 30-6-2022, 373, 24.20, 58.00
11:08:20, 30-6-2022, 374, 24.20, 58.00
11:08:22, 30-6-2022, 373, 24.20, 58.00
11:08:23, 30-6-2022, 375, 24.20, 58.00
11:08:24, 30-6-2022, 374, 24.20, 58.00
11:08:25, 30-6-2022, 374, 24.20, 58.00
11:08:27, 30-6-2022, 374, 24.20, 58.00
11:08:28, 30-6-2022, 371, 24.20, 58.00
11:08:29, 30-6-2022, 374, 24.20, 58.00
11:08:30, 30-6-2022, 375, 24.20, 58.00
11:08:32, 30-6-2022, 375, 24.20, 58.00
11:08:33, 30-6-2022, 369, 24.20, 58.00
11:08:34, 30-6-2022, 375, 24.20, 58.00
11:08:35, 30-6-2022, 373, 24.20, 58.00
11:08:36, 30-6-2022, 375, 24.20, 58.00
11:08:38, 30-6-2022, 374, 24.20, 58.00
11:08:39, 30-6-2022, 375, 24.20, 58.00
11:08:40, 30-6-2022, 374, 24.20, 58.00
11:08:41, 30-6-2022, 373, 24.20, 58.00
11:08:43, 30-6-2022, 375, 24.20, 58.00
11:08:44, 30-6-2022, 374, 24.20, 58.00
