Time, Date, light, temperature, humidity
12:21:47, 29-6-2022, 359, 25.60, 60.00
12:21:48, 29-6-2022, 364, 25.60, 60.00
12:21:49, 29-6-2022, 363, 25.70, 63.00
12:21:51, 29-6-2022, 364, 25.70, 63.00
12:21:52, 29-6-2022, 364, 25.70, 60.00
12:21:53, 29-6-2022, 360, 25.70, 60.00
12:21:54, 29-6-2022, 359, 25.70, 59.00
12:21:56, 29-6-2022, 357, 25.70, 59.00
12:21:57, 29-6-2022, 363, 25.70, 58.00
12:21:58, 29-6-2022, 362, 25.70, 58.00
12:21:59, 29-6-2022, 361, 25.80, 57.00
12:22:00, 29-6-2022, 347, 25.80, 57.00
12:22:02, 29-6-2022, 348, 25.80, 57.00
12:22:03, 29-6-2022, 366, 25.80, 57.00
12:22:04, 29-6-2022, 353, 25.80, 56.00
12:22:05, 29-6-2022, 358, 25.80, 56.00
12:22:07, 29-6-2022, 361, 25.80, 55.00
12:22:08, 29-6-2022, 350, 25.80, 55.00
12:22:09, 29-6-2022, 349, 25.80, 55.00
12:22:10, 29-6-2022, 348, 25.80, 55.00
12:22:12, 29-6-2022, 352, 25.80, 56.00
12:22:13, 29-6-2022, 349, 25.80, 56.00
12:22:14, 29-6-2022, 359, 25.90, 58.00
12:22:15, 29-6-2022, 368, 25.90, 58.00
12:22:16, 29-6-2022, 362, 25.90, 58.00
12:22:18, 29-6-2022, 356, 25.90, 58.00
12:22:19, 29-6-2022, 351, 26.00, 59.00
12:22:20, 29-6-2022, 334, 26.00, 59.00
12:22:21, 29-6-2022, 111, 26.10, 58.00
12:22:23, 29-6-2022, 302, 26.10, 58.00
12:22:24, 29-6-2022, 387, 26.10, 58.00
12:22:25, 29-6-2022, 384, 26.10, 58.00
12:22:26, 29-6-2022, 386, 26.20, 59.00
12:22:28, 29-6-2022, 387, 26.20, 59.00
12:22:29, 29-6-2022, 389, 26.30, 57.00
12:22:30, 29-6-2022, 388, 26.30, 57.00
12:22:31, 29-6-2022, 87, 26.40, 56.00
12:22:33, 29-6-2022, 85, 26.40, 56.00
12:22:34, 29-6-2022, 161, 26.40, 58.00
12:22:35, 29-6-2022, 82, 26.40, 58.00
12:22:36, 29-6-2022, 94, 26.50, 58.00
12:22:38, 29-6-2022, 71, 26.50, 58.00
12:22:39, 29-6-2022, 65, 26.60, 56.00
12:22:40, 29-6-2022, 332, 26.60, 56.00
12:22:41, 29-6-2022, 388, 26.70, 55.00
12:22:42, 29-6-2022, 392, 26.70, 55.00
12:22:44, 29-6-2022, 393, 26.80, 54.00
12:22:45, 29-6-2022, 391, 26.80, 54.00
12:22:46, 29-6-2022, 391, 26.80, 53.00
12:22:47, 29-6-2022, 390, 26.80, 53.00
12:22:49, 29-6-2022, 392, 26.90, 53.00
12:22:50, 29-6-2022, 390, 26.90, 53.00
12:22:51, 29-6-2022, 394, 26.90, 52.00
12:22:52, 29-6-2022, 393, 26.90, 52.00
12:22:54, 29-6-2022, 394, 26.90, 51.00
12:22:55, 29-6-2022, 394, 26.90, 51.00
12:22:56, 29-6-2022, 394, 27.00, 51.00
12:22:57, 29-6-2022, 394, 27.00, 51.00
12:22:58, 29-6-2022, 394, 27.00, 50.00
12:23:00, 29-6-2022, 394, 27.00, 50.00
12:23:01, 29-6-2022, 393, 27.00, 50.00
12:23:02, 29-6-2022, 394, 27.00, 50.00
12:23:03, 29-6-2022, 393, 27.00, 49.00
12:23:05, 29-6-2022, 393, 27.00, 49.00
12:23:06, 29-6-2022, 394, 27.00, 49.00
12:23:07, 29-6-2022, 386, 27.00, 49.00
12:23:08, 29-6-2022, 382, 27.00, 49.00
12:23:10, 29-6-2022, 64, 27.00, 49.00
12:23:11, 29-6-2022, 390, 27.00, 49.00
12:23:12, 29-6-2022, 353, 27.00, 49.00
12:23:13, 29-6-2022, 391, 27.00, 48.00
12:23:14, 29-6-2022, 347, 27.00, 48.00
12:23:16, 29-6-2022, 394, 26.90, 49.00
12:23:17, 29-6-2022, 397, 26.90, 49.00
12:23:18, 29-6-2022, 398, 26.90, 49.00
12:23:19, 29-6-2022, 394, 26.90, 49.00
12:23:21, 29-6-2022, 393, 26.90, 48.00
12:23:22, 29-6-2022, 394, 26.90, 48.00
12:23:23, 29-6-2022, 395, 26.90, 48.00
12:23:24, 29-6-2022, 393, 26.90, 48.00
12:23:26, 29-6-2022, 388, 26.90, 48.00
12:23:27, 29-6-2022, 389, 26.90, 48.00
12:23:28, 29-6-2022, 389, 26.90, 48.00
12:23:29, 29-6-2022, 389, 26.90, 48.00
12:23:30, 29-6-2022, 389, 26.80, 48.00
12:23:32, 29-6-2022, 390, 26.80, 48.00
12:23:33, 29-6-2022, 390, 26.80, 48.00
12:23:34, 29-6-2022, 390, 26.80, 48.00
12:23:35, 29-6-2022, 389, 26.80, 48.00
12:23:37, 29-6-2022, 371, 26.80, 48.00
12:23:38, 29-6-2022, 357, 26.70, 47.00
12:23:39, 29-6-2022, 387, 26.70, 47.00
12:23:40, 29-6-2022, 380, 26.70, 48.00
12:23:42, 29-6-2022, 381, 26.70, 48.00
12:23:43, 29-6-2022, 383, 26.70, 47.00
12:23:44, 29-6-2022, 384, 26.70, 47.00
