Time, Date, light, temperature, humidity
11:33:24, 30-6-2022, 378, 24.60, 53.00
11:33:25, 30-6-2022, 377, 24.60, 53.00
11:33:26, 30-6-2022, 378, 24.50, 58.00
11:33:28, 30-6-2022, 376, 24.50, 58.00
11:33:29, 30-6-2022, 377, 24.60, 56.00
11:33:30, 30-6-2022, 371, 24.60, 56.00
11:33:31, 30-6-2022, 372, 24.60, 56.00
11:33:32, 30-6-2022, 379, 24.60, 56.00
11:33:34, 30-6-2022, 377, 24.60, 56.00
11:33:35, 30-6-2022, 376, 24.60, 56.00
11:33:36, 30-6-2022, 377, 24.60, 56.00
11:33:37, 30-6-2022, 376, 24.60, 56.00
11:33:39, 30-6-2022, 375, 24.60, 56.00
11:33:40, 30-6-2022, 379, 24.60, 56.00
11:33:41, 30-6-2022, 378, 24.60, 56.00
11:33:42, 30-6-2022, 378, 24.60, 56.00
11:33:44, 30-6-2022, 379, 24.60, 56.00
11:33:45, 30-6-2022, 379, 24.60, 56.00
11:33:46, 30-6-2022, 379, 24.60, 56.00
11:33:47, 30-6-2022, 377, 24.60, 56.00
11:33:49, 30-6-2022, 377, 24.60, 56.00
11:33:50, 30-6-2022, 378, 24.60, 56.00
11:33:51, 30-6-2022, 377, 24.60, 56.00
11:33:52, 30-6-2022, 379, 24.60, 56.00
11:33:53, 30-6-2022, 378, 24.60, 56.00
11:33:55, 30-6-2022, 372, 24.60, 56.00
11:33:56, 30-6-2022, 378, 24.60, 56.00
11:33:57, 30-6-2022, 377, 24.60, 56.00
11:33:58, 30-6-2022, 376, 24.60, 56.00
11:34:00, 30-6-2022, 377, 24.60, 56.00
11:34:01, 30-6-2022, 377, 24.60, 56.00
11:34:02, 30-6-2022, 376, 24.60, 56.00
11:34:03, 30-6-2022, 377, 24.60, 56.00
11:34:05, 30-6-2022, 376, 24.60, 56.00
11:34:06, 30-6-2022, 376, 24.70, 56.00
11:34:07, 30-6-2022, 376, 24.70, 56.00
11:34:08, 30-6-2022, 375, 24.70, 56.00
11:34:09, 30-6-2022, 376, 24.70, 56.00
11:34:11, 30-6-2022, 375, 24.70, 56.00
11:34:12, 30-6-2022, 378, 24.70, 56.00
11:34:13, 30-6-2022, 372, 24.70, 56.00
11:34:14, 30-6-2022, 373, 24.70, 56.00
11:34:16, 30-6-2022, 374, 24.70, 56.00
11:34:17, 30-6-2022, 378, 24.70, 56.00
11:34:18, 30-6-2022, 377, 24.70, 56.00
11:34:19, 30-6-2022, 379, 24.70, 56.00
11:34:21, 30-6-2022, 377, 24.70, 56.00
11:34:22, 30-6-2022, 378, 24.70, 56.00
11:34:23, 30-6-2022, 378, 24.70, 56.00
11:34:24, 30-6-2022, 378, 24.70, 56.00
11:34:25, 30-6-2022, 378, 24.70, 56.00
11:34:27, 30-6-2022, 377, 24.70, 56.00
11:34:28, 30-6-2022, 370, 24.70, 56.00
11:34:29, 30-6-2022, 375, 24.70, 56.00
11:34:30, 30-6-2022, 378, 24.70, 56.00
11:34:32, 30-6-2022, 377, 24.70, 56.00
11:34:33, 30-6-2022, 378, 24.70, 56.00
11:34:34, 30-6-2022, 378, 24.70, 56.00
11:34:35, 30-6-2022, 378, 24.70, 56.00
11:34:37, 30-6-2022, 378, 24.70, 56.00
11:34:38, 30-6-2022, 377, 24.70, 56.00
11:34:39, 30-6-2022, 377, 24.70, 56.00
11:34:40, 30-6-2022, 379, 24.70, 56.00
11:34:41, 30-6-2022, 377, 24.70, 56.00
11:34:43, 30-6-2022, 378, 24.70, 56.00
11:34:44, 30-6-2022, 379, 24.70, 56.00
11:34:45, 30-6-2022, 377, 24.70, 56.00
11:34:46, 30-6-2022, 378, 24.70, 56.00
11:34:48, 30-6-2022, 378, 24.70, 56.00
11:34:49, 30-6-2022, 377, 24.70, 56.00
11:34:50, 30-6-2022, 379, 24.70, 56.00
11:34:51, 30-6-2022, 374, 24.70, 56.00
11:34:53, 30-6-2022, 378, 24.80, 56.00
11:34:54, 30-6-2022, 378, 24.80, 56.00
11:34:55, 30-6-2022, 377, 24.80, 56.00
11:34:56, 30-6-2022, 378, 24.80, 56.00
11:34:57, 30-6-2022, 380, 24.80, 56.00
11:34:59, 30-6-2022, 372, 24.80, 56.00
11:35:00, 30-6-2022, 372, 24.80, 56.00
11:35:01, 30-6-2022, 377, 24.80, 56.00
11:35:02, 30-6-2022, 377, 24.80, 56.00
11:35:04, 30-6-2022, 379, 24.80, 56.00
11:35:05, 30-6-2022, 377, 24.80, 56.00
11:35:06, 30-6-2022, 378, 24.80, 56.00
11:35:07, 30-6-2022, 379, 24.80, 56.00
11:35:09, 30-6-2022, 377, 24.80, 56.00
11:35:10, 30-6-2022, 376, 24.80, 56.00
11:35:11, 30-6-2022, 375, 24.80, 56.00
11:35:12, 30-6-2022, 374, 24.80, 56.00
11:35:13, 30-6-2022, 378, 24.80, 56.00
11:35:15, 30-6-2022, 379, 24.80, 56.00
11:35:16, 30-6-2022, 378, 24.80, 56.00
11:35:17, 30-6-2022, 379, 24.80, 56.00
11:35:18, 30-6-2022, 380, 24.80, 56.00
11:35:20, 30-6-2022, 378, 24.80, 56.00
11:35:21, 30-6-2022, 380, 24.80, 56.00
