Time, Date, light, temperature, humidity
12:25:50, 29-6-2022, 285, 24.70, 51.00
12:25:51, 29-6-2022, 314, 24.70, 51.00
12:25:52, 29-6-2022, 337, 24.60, 55.00
12:25:54, 29-6-2022, 285, 24.60, 55.00
12:25:55, 29-6-2022, 334, 24.70, 54.00
12:25:56, 29-6-2022, 379, 24.70, 54.00
12:25:57, 29-6-2022, 362, 24.60, 54.00
12:25:58, 29-6-2022, 298, 24.60, 54.00
12:26:00, 29-6-2022, 298, 24.60, 54.00
12:26:01, 29-6-2022, 279, 24.60, 54.00
12:26:02, 29-6-2022, 267, 24.60, 54.00
12:26:03, 29-6-2022, 287, 24.60, 54.00
12:26:05, 29-6-2022, 273, 24.60, 54.00
12:26:06, 29-6-2022, 395, 24.60, 54.00
