11:38:52 27-6-2022, 260, 25.00, 40.00
11:38:53 27-6-2022, 260, 25.00, 40.00
11:38:55 27-6-2022, 260, 24.90, 38.00
11:38:56 27-6-2022, 288, 24.90, 38.00
11:38:57 27-6-2022, 290, 24.90, 39.00
11:38:58 27-6-2022, 290, 24.90, 39.00
11:38:59 27-6-2022, 292, 24.90, 39.00
11:39:01 27-6-2022, 292, 24.90, 39.00
11:39:02 27-6-2022, 291, 24.90, 40.00
11:39:03 27-6-2022, 280, 24.90, 40.00
11:39:04 27-6-2022, 282, 24.90, 40.00
11:39:06 27-6-2022, 284, 24.90, 40.00
11:39:07 27-6-2022, 283, 24.90, 40.00
11:39:08 27-6-2022, 285, 24.90, 40.00
11:39:09 27-6-2022, 284, 24.90, 45.00
11:39:11 27-6-2022, 288, 24.90, 45.00
11:39:12 27-6-2022, 287, 25.00, 54.00
11:39:13 27-6-2022, 290, 25.00, 54.00
11:39:14 27-6-2022, 290, 25.20, 58.00
11:39:15 27-6-2022, 290, 25.20, 58.00
11:39:17 27-6-2022, 289, 25.50, 54.00
11:39:18 27-6-2022, 287, 25.50, 54.00
11:39:19 27-6-2022, 289, 25.70, 52.00
11:39:20 27-6-2022, 289, 25.70, 52.00
11:39:22 27-6-2022, 290, 26.00, 51.00
11:39:23 27-6-2022, 293, 26.00, 51.00
11:39:24 27-6-2022, 293, 26.10, 49.00
11:39:25 27-6-2022, 293, 26.10, 49.00
11:39:27 27-6-2022, 293, 26.30, 48.00
11:39:28 27-6-2022, 292, 26.30, 48.00
11:39:29 27-6-2022, 292, 26.40, 46.00
11:39:30 27-6-2022, 293, 26.40, 46.00
11:39:31 27-6-2022, 292, 26.50, 45.00
11:39:33 27-6-2022, 291, 26.50, 45.00
11:39:34 27-6-2022, 291, 26.60, 44.00
11:39:35 27-6-2022, 293, 26.60, 44.00
11:39:36 27-6-2022, 293, 26.70, 43.00
11:39:38 27-6-2022, 293, 26.70, 43.00
11:39:39 27-6-2022, 290, 26.70, 42.00
11:39:40 27-6-2022, 291, 26.70, 42.00
11:39:41 27-6-2022, 292, 26.70, 41.00
11:39:42 27-6-2022, 292, 26.70, 41.00
11:39:44 27-6-2022, 293, 26.70, 40.00
11:39:45 27-6-2022, 292, 26.70, 40.00
11:39:46 27-6-2022, 291, 26.80, 40.00
11:39:47 27-6-2022, 290, 26.80, 40.00
11:39:49 27-6-2022, 290, 26.80, 39.00
11:39:50 27-6-2022, 290, 26.80, 39.00
11:39:51 27-6-2022, 291, 26.80, 39.00
11:39:52 27-6-2022, 292, 26.80, 39.00
11:39:54 27-6-2022, 291, 26.80, 38.00
11:39:55 27-6-2022, 290, 26.80, 38.00
11:39:56 27-6-2022, 291, 26.70, 38.00
11:39:57 27-6-2022, 291, 26.70, 38.00
11:39:58 27-6-2022, 292, 26.70, 37.00
11:40:00 27-6-2022, 292, 26.70, 37.00
11:40:01 27-6-2022, 287, 26.70, 37.00
11:40:02 27-6-2022, 285, 26.70, 37.00
11:40:03 27-6-2022, 292, 26.70, 37.00
11:40:05 27-6-2022, 286, 26.70, 37.00
11:40:06 27-6-2022, 293, 26.70, 37.00
11:40:07 27-6-2022, 293, 26.70, 37.00
11:40:08 27-6-2022, 293, 26.70, 36.00
11:40:10 27-6-2022, 291, 26.70, 36.00
11:40:11 27-6-2022, 291, 26.60, 36.00
11:40:12 27-6-2022, 291, 26.60, 36.00
11:40:13 27-6-2022, 292, 26.60, 36.00
11:40:14 27-6-2022, 293, 26.60, 36.00
11:40:16 27-6-2022, 292, 26.60, 36.00
11:40:17 27-6-2022, 292, 26.60, 36.00
11:40:18 27-6-2022, 290, 26.60, 36.00
