Time, Date, light, temperature, humidity
12:21:22, 29-6-2022, 280, 24.70, 85.00
12:21:23, 29-6-2022, 323, 24.70, 85.00
12:21:24, 29-6-2022, 343, 24.90, 90.00
12:21:26, 29-6-2022, 317, 24.90, 90.00
12:21:27, 29-6-2022, 356, 24.90, 86.00
12:21:28, 29-6-2022, 356, 24.90, 86.00
12:21:29, 29-6-2022, 349, 25.10, 81.00
12:21:30, 29-6-2022, 319, 25.10, 81.00
12:21:32, 29-6-2022, 323, 25.20, 77.00
12:21:33, 29-6-2022, 330, 25.20, 77.00
12:21:34, 29-6-2022, 329, 25.30, 74.00
12:21:35, 29-6-2022, 329, 25.30, 74.00
12:21:37, 29-6-2022, 345, 25.40, 71.00
