Time, Date, light, temperature, humidity
12:07:48, 29-6-2022, 0, 0.00, 0.00
12:07:48, 29-6-2022, 335, 23.80, 55.00
Time, Date, light, temperature, humidity
12:07:48, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:48, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:49, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:49, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:49, 29-6-2022, 0, 0.00, 0.00
12:07:49, 29-6-2022, 336, 23.80, 55.00
Time, Date, light, temperature, humidity
12:07:49, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:50, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:50, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:50, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:50, 29-6-2022, 0, 0.00, 0.00
12:07:51, 29-6-2022, 334, 23.80, 55.00
Time, Date, light, temperature, humidity
12:07:51, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:51, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:51, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:51, 29-6-2022, 0, 0.00, 0.00
