Time, Date, light, temperature, humidity
12:12:07, 30-6-2022, 369, 24.70, 53.00
12:12:08, 30-6-2022, 371, 24.70, 53.00
12:12:09, 30-6-2022, 369, 24.70, 58.00
12:12:11, 30-6-2022, 370, 24.70, 58.00
12:12:12, 30-6-2022, 370, 24.70, 56.00
12:12:13, 30-6-2022, 371, 24.70, 56.00
12:12:14, 30-6-2022, 370, 24.70, 56.00
12:12:15, 30-6-2022, 372, 24.70, 56.00
12:12:17, 30-6-2022, 370, 24.70, 56.00
12:12:18, 30-6-2022, 380, 24.70, 56.00
12:12:19, 30-6-2022, 378, 24.80, 56.00
12:12:20, 30-6-2022, 380, 24.80, 56.00
12:12:22, 30-6-2022, 380, 24.80, 56.00
12:12:23, 30-6-2022, 379, 24.80, 56.00
12:12:24, 30-6-2022, 381, 24.80, 56.00
12:12:25, 30-6-2022, 379, 24.80, 56.00
12:12:27, 30-6-2022, 372, 24.80, 56.00
12:12:28, 30-6-2022, 371, 24.80, 56.00
12:12:29, 30-6-2022, 371, 24.80, 56.00
12:12:30, 30-6-2022, 371, 24.80, 56.00
12:12:31, 30-6-2022, 371, 24.80, 56.00
12:12:33, 30-6-2022, 372, 24.80, 56.00
12:12:34, 30-6-2022, 371, 24.80, 56.00
12:12:35, 30-6-2022, 373, 24.80, 56.00
12:12:36, 30-6-2022, 372, 24.80, 56.00
12:12:38, 30-6-2022, 380, 24.80, 56.00
12:12:39, 30-6-2022, 377, 24.80, 56.00
12:12:40, 30-6-2022, 379, 24.80, 56.00
12:12:41, 30-6-2022, 371, 24.80, 56.00
12:12:43, 30-6-2022, 372, 24.80, 56.00
12:12:44, 30-6-2022, 370, 24.80, 56.00
12:12:45, 30-6-2022, 371, 24.80, 56.00
12:12:46, 30-6-2022, 370, 24.90, 56.00
12:12:47, 30-6-2022, 371, 24.90, 56.00
12:12:49, 30-6-2022, 378, 24.90, 56.00
12:12:50, 30-6-2022, 379, 24.90, 56.00
12:12:51, 30-6-2022, 378, 24.90, 56.00
12:12:52, 30-6-2022, 377, 24.90, 56.00
12:12:54, 30-6-2022, 378, 24.90, 56.00
12:12:55, 30-6-2022, 372, 24.90, 56.00
12:12:56, 30-6-2022, 372, 24.90, 56.00
12:12:57, 30-6-2022, 373, 24.90, 56.00
12:12:59, 30-6-2022, 378, 24.90, 56.00
12:13:00, 30-6-2022, 379, 24.90, 56.00
12:13:01, 30-6-2022, 378, 24.90, 56.00
12:13:02, 30-6-2022, 377, 24.90, 56.00
12:13:04, 30-6-2022, 379, 24.90, 56.00
12:13:05, 30-6-2022, 376, 24.90, 56.00
12:13:06, 30-6-2022, 376, 24.90, 56.00
12:13:07, 30-6-2022, 378, 24.90, 56.00
12:13:08, 30-6-2022, 379, 24.90, 56.00
12:13:10, 30-6-2022, 380, 24.90, 56.00
12:13:11, 30-6-2022, 379, 24.90, 56.00
12:13:12, 30-6-2022, 379, 24.90, 56.00
12:13:13, 30-6-2022, 380, 24.90, 56.00
12:13:15, 30-6-2022, 378, 24.90, 56.00
12:13:16, 30-6-2022, 380, 24.90, 56.00
12:13:17, 30-6-2022, 379, 24.90, 56.00
12:13:18, 30-6-2022, 378, 24.90, 56.00
12:13:20, 30-6-2022, 378, 24.90, 56.00
12:13:21, 30-6-2022, 377, 24.90, 56.00
12:13:22, 30-6-2022, 379, 24.90, 56.00
12:13:23, 30-6-2022, 378, 24.90, 56.00
12:13:24, 30-6-2022, 379, 24.90, 56.00
12:13:26, 30-6-2022, 379, 24.90, 56.00
12:13:27, 30-6-2022, 378, 24.90, 56.00
12:13:28, 30-6-2022, 380, 25.00, 55.00
12:13:29, 30-6-2022, 372, 25.00, 55.00
12:13:31, 30-6-2022, 379, 25.00, 56.00
12:13:32, 30-6-2022, 381, 25.00, 56.00
12:13:33, 30-6-2022, 370, 25.00, 56.00
12:13:34, 30-6-2022, 371, 25.00, 56.00
12:13:36, 30-6-2022, 371, 25.00, 55.00
12:13:37, 30-6-2022, 379, 25.00, 55.00
12:13:38, 30-6-2022, 372, 25.00, 55.00
12:13:39, 30-6-2022, 372, 25.00, 55.00
12:13:40, 30-6-2022, 373, 25.00, 55.00
12:13:42, 30-6-2022, 371, 25.00, 55.00
12:13:43, 30-6-2022, 372, 25.00, 56.00
12:13:44, 30-6-2022, 372, 25.00, 56.00
12:13:45, 30-6-2022, 371, 25.00, 55.00
12:13:47, 30-6-2022, 372, 25.00, 55.00
12:13:48, 30-6-2022, 372, 25.00, 56.00
12:13:49, 30-6-2022, 371, 25.00, 56.00
12:13:50, 30-6-2022, 371, 25.00, 55.00
12:13:52, 30-6-2022, 372, 25.00, 55.00
12:13:53, 30-6-2022, 371, 25.00, 55.00
12:13:54, 30-6-2022, 371, 25.00, 55.00
12:13:55, 30-6-2022, 373, 25.00, 56.00
12:13:56, 30-6-2022, 380, 25.00, 56.00
12:13:58, 30-6-2022, 375, 25.00, 55.00
12:13:59, 30-6-2022, 374, 25.00, 55.00
12:14:00, 30-6-2022, 380, 25.00, 55.00
12:14:01, 30-6-2022, 380, 25.00, 55.00
12:14:03, 30-6-2022, 379, 25.10, 55.00
12:14:04, 30-6-2022, 381, 25.10, 55.00
