Time, Date, light, temperature, humidity
11:01:27, 30-6-2022, 378, 24.80, 51.00
11:01:28, 30-6-2022, 377, 24.80, 51.00
11:01:29, 30-6-2022, 376, 24.80, 56.00
11:01:31, 30-6-2022, 375, 24.80, 56.00
11:01:32, 30-6-2022, 374, 24.80, 54.00
11:01:33, 30-6-2022, 377, 24.80, 54.00
11:01:34, 30-6-2022, 375, 24.80, 54.00
11:01:36, 30-6-2022, 375, 24.80, 54.00
11:01:37, 30-6-2022, 376, 24.80, 54.00
11:01:38, 30-6-2022, 378, 24.80, 54.00
11:01:39, 30-6-2022, 378, 24.80, 54.00
11:01:40, 30-6-2022, 377, 24.80, 54.00
11:01:42, 30-6-2022, 378, 24.70, 54.00
11:01:43, 30-6-2022, 377, 24.70, 54.00
11:01:44, 30-6-2022, 377, 24.70, 54.00
11:01:45, 30-6-2022, 377, 24.70, 54.00
11:01:47, 30-6-2022, 378, 24.70, 54.00
11:01:48, 30-6-2022, 376, 24.70, 54.00
11:01:49, 30-6-2022, 376, 24.70, 54.00
11:01:50, 30-6-2022, 377, 24.70, 54.00
11:01:52, 30-6-2022, 378, 24.70, 54.00
11:01:53, 30-6-2022, 376, 24.70, 54.00
11:01:55, 30-6-2022, 377, 24.70, 54.00
11:01:56, 30-6-2022, 377, 24.70, 54.00
11:01:58, 30-6-2022, 377, 24.70, 53.00
11:01:59, 30-6-2022, 378, 24.70, 53.00
11:02:00, 30-6-2022, 378, 24.70, 54.00
11:02:02, 30-6-2022, 377, 24.70, 54.00
11:02:03, 30-6-2022, 377, 24.70, 55.00
11:02:04, 30-6-2022, 376, 24.70, 55.00
11:02:05, 30-6-2022, 377, 24.70, 55.00
11:02:06, 30-6-2022, 375, 24.70, 55.00
11:02:08, 30-6-2022, 376, 24.70, 55.00
11:02:09, 30-6-2022, 376, 24.70, 55.00
11:02:10, 30-6-2022, 378, 24.60, 55.00
11:02:11, 30-6-2022, 375, 24.60, 55.00
11:02:13, 30-6-2022, 378, 24.60, 55.00
11:02:14, 30-6-2022, 375, 24.60, 55.00
11:02:15, 30-6-2022, 377, 24.60, 55.00
11:02:16, 30-6-2022, 377, 24.60, 55.00
11:02:18, 30-6-2022, 378, 24.60, 55.00
11:02:19, 30-6-2022, 377, 24.60, 55.00
11:02:20, 30-6-2022, 377, 24.60, 55.00
11:02:21, 30-6-2022, 377, 24.60, 55.00
11:02:22, 30-6-2022, 377, 24.60, 55.00
11:02:24, 30-6-2022, 378, 24.60, 55.00
11:02:25, 30-6-2022, 377, 24.60, 55.00
11:02:26, 30-6-2022, 378, 24.60, 55.00
11:02:27, 30-6-2022, 377, 24.60, 55.00
11:02:29, 30-6-2022, 378, 24.60, 55.00
11:02:30, 30-6-2022, 377, 24.60, 55.00
11:02:31, 30-6-2022, 378, 24.60, 55.00
11:02:32, 30-6-2022, 376, 24.60, 55.00
11:02:34, 30-6-2022, 378, 24.60, 55.00
11:02:35, 30-6-2022, 376, 24.60, 55.00
11:02:36, 30-6-2022, 377, 24.60, 55.00
11:02:37, 30-6-2022, 374, 24.60, 55.00
11:02:38, 30-6-2022, 368, 24.60, 55.00
11:02:40, 30-6-2022, 374, 24.50, 56.00
11:02:41, 30-6-2022, 375, 24.50, 56.00
11:02:42, 30-6-2022, 376, 24.50, 56.00
11:02:43, 30-6-2022, 368, 24.50, 56.00
11:02:45, 30-6-2022, 376, 24.50, 56.00
11:02:46, 30-6-2022, 375, 24.50, 56.00
11:02:47, 30-6-2022, 376, 24.50, 56.00
11:02:48, 30-6-2022, 375, 24.50, 56.00
11:02:50, 30-6-2022, 374, 24.50, 56.00
11:02:51, 30-6-2022, 376, 24.50, 56.00
11:02:52, 30-6-2022, 375, 24.50, 57.00
11:02:53, 30-6-2022, 377, 24.50, 57.00
11:02:54, 30-6-2022, 375, 24.50, 57.00
11:02:56, 30-6-2022, 376, 24.50, 57.00
11:02:57, 30-6-2022, 375, 24.50, 57.00
11:02:58, 30-6-2022, 368, 24.50, 57.00
11:02:59, 30-6-2022, 369, 24.50, 57.00
11:03:01, 30-6-2022, 366, 24.50, 57.00
11:03:02, 30-6-2022, 373, 24.50, 57.00
11:03:03, 30-6-2022, 375, 24.50, 57.00
11:03:04, 30-6-2022, 375, 24.50, 57.00
11:03:06, 30-6-2022, 374, 24.50, 57.00
11:03:07, 30-6-2022, 376, 24.50, 57.00
11:03:08, 30-6-2022, 374, 24.50, 57.00
11:03:09, 30-6-2022, 374, 24.50, 57.00
11:03:10, 30-6-2022, 374, 24.50, 57.00
11:03:12, 30-6-2022, 374, 24.50, 57.00
11:03:13, 30-6-2022, 375, 24.50, 57.00
11:03:14, 30-6-2022, 373, 24.50, 57.00
11:03:15, 30-6-2022, 376, 24.50, 57.00
11:03:17, 30-6-2022, 375, 24.50, 57.00
11:03:18, 30-6-2022, 375, 24.50, 57.00
11:03:19, 30-6-2022, 374, 24.50, 57.00
11:03:20, 30-6-2022, 371, 24.50, 57.00
11:03:22, 30-6-2022, 375, 24.50, 57.00
11:03:23, 30-6-2022, 374, 24.50, 57.00
11:03:24, 30-6-2022, 375, 24.50, 57.00
