Time, Date, light, temperature, humidity
12:07:41, 29-6-2022, 0, 0.00, 0.00
12:07:41, 29-6-2022, 329, 23.80, 57.00
Time, Date, light, temperature, humidity
12:07:41, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:41, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:42, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:42, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:42, 29-6-2022, 0, 0.00, 0.00
12:07:42, 29-6-2022, 335, 23.80, 57.00
Time, Date, light, temperature, humidity
12:07:42, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:43, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:43, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:43, 29-6-2022, 0, 0.00, 0.00
Time, Date, light, temperature, humidity
12:07:43, 29-6-2022, 0, 0.00, 0.00
