23:42:10 17-6-2022, 229, 54
23:42:11 17-6-2022, 229, 64
23:42:12 17-6-2022, 229, 77
23:42:13 17-6-2022, 229, 84
23:42:14 17-6-2022, 229, 82
23:42:16 17-6-2022, 85, 84
23:42:17 17-6-2022, 1, 85
23:42:18 17-6-2022, 1, 82
23:42:19 17-6-2022, 1, 73
23:42:21 17-6-2022, 226, 61
23:42:22 17-6-2022, 229, 51
23:42:23 17-6-2022, 230, 40
23:42:24 17-6-2022, 230, 36
23:42:25 17-6-2022, 230, 38
23:42:27 17-6-2022, 229, 32
23:42:28 17-6-2022, 229, 36
23:42:29 17-6-2022, 229, 38
23:42:30 17-6-2022, 229, 35
23:42:32 17-6-2022, 229, 38
23:42:33 17-6-2022, 229, 36
23:42:34 17-6-2022, 229, 38
23:42:35 17-6-2022, 229, 36
23:42:36 17-6-2022, 229, 36
23:42:38 17-6-2022, 229, 35
23:42:39 17-6-2022, 229, 35
23:42:40 17-6-2022, 229, 36
23:42:41 17-6-2022, 229, 37
23:42:43 17-6-2022, 230, 37
23:42:44 17-6-2022, 230, 35
23:42:45 17-6-2022, 230, 36
23:42:46 17-6-2022, 230, 35
23:42:47 17-6-2022, 230, 35
23:42:49 17-6-2022, 229, 36
23:42:50 17-6-2022, 229, 35
23:42:51 17-6-2022, 229, 35
23:42:52 17-6-2022, 229, 35
23:42:54 17-6-2022, 230, 36
23:42:55 17-6-2022, 230, 35
23:42:56 17-6-2022, 229, 36
23:42:57 17-6-2022, 229, 31
23:42:58 17-6-2022, 229, 35
23:43:00 17-6-2022, 229, 36
23:43:01 17-6-2022, 229, 36
23:43:02 17-6-2022, 68, 35
23:43:03 17-6-2022, 65, 37
