4:47:33 25-6-2022, 146, , 
4:47:34 25-6-2022, 146, -11.60, 155.00
4:47:35 25-6-2022, 159, -11.60, 155.00
4:47:37 25-6-2022, 163, -11.60, 153.00
4:47:38 25-6-2022, 151, -11.60, 153.00
4:47:39 25-6-2022, 167, -11.60, 155.00
4:47:40 25-6-2022, 180, -11.60, 155.00
4:47:41 25-6-2022, 168, -11.60, 155.00
4:47:43 25-6-2022, 167, -11.60, 155.00
4:47:44 25-6-2022, 166, , 
4:47:45 25-6-2022, 158, , 
4:47:46 25-6-2022, 157, , 
4:47:48 25-6-2022, 156, , 
4:47:49 25-6-2022, 155, , 
4:47:50 25-6-2022, 154, , 
4:47:51 25-6-2022, 154, , 
4:47:52 25-6-2022, 154, , 
4:47:54 25-6-2022, 157, , 
4:47:55 25-6-2022, 155, , 
4:47:56 25-6-2022, 155, , 
4:47:57 25-6-2022, 155, , 
4:47:59 25-6-2022, 155, , 
4:48:00 25-6-2022, 155, , 
4:48:01 25-6-2022, 155, , 
4:48:02 25-6-2022, 155, , 
4:48:04 25-6-2022, 155, , 
4:48:05 25-6-2022, 155, , 
4:48:06 25-6-2022, 155, , 
4:48:07 25-6-2022, 153, , 
4:48:08 25-6-2022, 153, , 
4:48:10 25-6-2022, 153, , 
4:48:11 25-6-2022, 153, , 
4:48:12 25-6-2022, 153, , 
4:48:13 25-6-2022, 153, , 
4:48:15 25-6-2022, 154, , 
4:48:16 25-6-2022, 154, , 
4:48:17 25-6-2022, 154, , 
4:48:18 25-6-2022, 154, , 
4:48:20 25-6-2022, 154, , 
4:48:21 25-6-2022, 154, , 
4:48:22 25-6-2022, 156, , 
4:48:23 25-6-2022, 155, , 
4:48:24 25-6-2022, 154, , 
4:48:26 25-6-2022, 155, , 
4:48:27 25-6-2022, 155, , 
4:48:28 25-6-2022, 155, , 
4:48:29 25-6-2022, 154, , 
4:48:31 25-6-2022, 154, , 
4:48:32 25-6-2022, 154, , 
4:48:33 25-6-2022, 155, , 
4:48:34 25-6-2022, 154, , 
4:48:36 25-6-2022, 156, , 
4:48:37 25-6-2022, 147, , 
4:48:38 25-6-2022, 148, , 
4:48:39 25-6-2022, 144, , 
4:48:40 25-6-2022, 148, , 
4:48:42 25-6-2022, 147, , 
